date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:39:41	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2016%20Aug%202022%2011:09:45%20GMT	https://www.genrevv.com/robots.txt		(from )
16:39:41	88874/88874	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Aug%202022%2011:09:45%20GMT	https://www.genrevv.com/	C:/My%20Web%20Sites/ww/www.genrevv.com/index.html	(from )
16:39:42	106288/106288	---M-Z	200	added ('OK')	text/css	etag:%22ba842eb6252e075b70625e4e49439241%22	https://uploads-ssl.webflow.com/627a8fdf90f5dae1452b948b/css/genrev.webflow.8f1cc483c.min.css	C:/My%20Web%20Sites/ww/uploads-ssl.webflow.com/627a8fdf90f5dae1452b948b/css/genrev.webflow.8f1cc483c.min.css	(from https://www.genrevv.com/)
16:39:43	16/16	---MC-	502	error ('Bad%20Gateway')	text/html	date:Tue,%2016%20Aug%202022%2011:09:47%20GMT	https://www.genrevv.com/six	C:/My%20Web%20Sites/ww/www.genrevv.com/six	(from https://www.genrevv.com/)
16:39:43	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2016%20Aug%202022%2011:09:47%20GMT	https://www.genrevv.com/contact-us	C:/My%20Web%20Sites/ww/www.genrevv.com/contact-us	(from https://www.genrevv.com/)
16:39:45	64014/64014	---M--	200	added ('OK')	image/png	etag:%22806e6f04e65f51046767a96e55ff449a%22	https://uploads-ssl.webflow.com/627a8fdf90f5dae1452b948b/629ba46df3d28f0941bae2bf_house.png	C:/My%20Web%20Sites/ww/uploads-ssl.webflow.com/627a8fdf90f5dae1452b948b/629ba46df3d28f0941bae2bf_house.png	(from https://www.genrevv.com/)
16:39:45	1049072/1049072	---M--	200	added ('OK')	image/png	etag:%22201eabf25b1d403dbe94b71c7ff471e2%22	https://uploads-ssl.webflow.com/627a8fdf90f5dae1452b948b/627e8f6f5daab661a644e78c_Gym%20-%20Green.png	C:/My%20Web%20Sites/ww/uploads-ssl.webflow.com/627a8fdf90f5dae1452b948b/627e8f6f5daab661a644e78c_Gym%20-%20Green.png	(from https://www.genrevv.com/)
16:39:46	138357/138357	---M--	200	added ('OK')	image/png	etag:%22be73581db8949edd0232bdda6fdd9905%22	https://uploads-ssl.webflow.com/627a8fdf90f5dae1452b948b/628ff4d6296871b0cc6a2cc2_627e8adc9f52c73ecd7dac0d_Long%20Ball%20%26%20Tube%20(1).png	C:/My%20Web%20Sites/ww/uploads-ssl.webflow.com/627a8fdf90f5dae1452b948b/628ff4d6296871b0cc6a2cc2_627e8adc9f52c73ecd7dac0d_Long%20Ball%20&%20Tube%20(1).png	(from https://www.genrevv.com/)
16:39:46	71473/71473	---M--	200	added ('OK')	image/png	etag:%22af4c1f4d410438cf667799526b6b91ef%22	https://uploads-ssl.webflow.com/627a8fdf90f5dae1452b948b/629ba46dfb49d9ef93f90b57_light.png	C:/My%20Web%20Sites/ww/uploads-ssl.webflow.com/627a8fdf90f5dae1452b948b/629ba46dfb49d9ef93f90b57_light.png	(from https://www.genrevv.com/)
16:39:46	15730/15730	---M--	200	added ('OK')	image/png	etag:%22baa8cdb50d895b433f8da12db6f30eef%22	https://uploads-ssl.webflow.com/627a8fdf90f5dae1452b948b/62c487d3ff570f8aa97b9e39_best-ux-white.png	C:/My%20Web%20Sites/ww/uploads-ssl.webflow.com/627a8fdf90f5dae1452b948b/62c487d3ff570f8aa97b9e39_best-ux-white.png	(from https://www.genrevv.com/)
